Unnamed: 0.2,A_ID,B_ID,preA_ID,preB_ID,symbol,Protein_A,Protein_B,model_1_multimer_score(iptm+ptm),model_1_multimer_score(iptm),model_1_multimer_score(ptm),A template,B template,symbol_r
359,O43837,P40763,IDH3B,STAT3,P40763__O43837,P40763,O43837,0.2300000047683716,0.15000000596046448,0.55,"['1yvl_B', '6ux2_A', '1bg1_A', '4e68_A', '6njs_A', '7nuf_A', '1y1u_B', '6mbz_A', '5d39_A', '4y5u_A', '1uus_A', '1uur_A', '6wcz_A', '5oen_B', '4zia_D', '3wwt_A', '1bgf_A', '4zia_C', '6amw_A', '2cs0_A']","['2d1c_B', '6kdy_D', '3blx_E', '6kdf_E', '6kdf_M', '7ce3_B', '6lky_B', '4yb4_C', '1x0l_A', '6l59_B', '3blv_H', '6ltf_A', '3blx_O', '6l59_A', '1x0l_B', '6kdf_D', '3blx_P', '6kde_D', '1gc8_B', '3u1h_A']",O43837__P40763
360,O00469,P15336,PLOD2,ATF2,O00469__P15336,O00469,P15336,0.23800000476837158,0.15000000596046448,0.59,"['6fxr_A', '6tec_A', '6wfv_A', '6ax6_B', '6ax7_A', '3zf8_A', '6yv8_A', '6yv9_B', '6yv7_B', '5c5t_A', '5c5u_B', '5c5u_A', '5v7y_A', '5v7y_B', '3itq_A', '3dkq_A', '2jig_A', '2jig_B', '6iuq_B', '2v4a_B']","['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']",P15336__O00469
361,P02461,P16220,COL3A1,CREB1,P02461__P16220,P02461,P16220,0.2079999980926514,0.1899999976158142,0.28,"['6fzw_A', '6fzw_C', '6fzv_A', '5k31_A', '5k31_C', '4ae2_C', '4wmq_B', '6usc_A', '5nir_B', '5nb8_C', '1u5m_A', '3bk3_C', '3bvh_E', '3e1i_B', '1fzc_E', '1m1j_B', '3ghg_H', '7kwo_V']","['6iak_F', '5zk1_A', '1dh3_A', '2e42_B', '5vpe_C', '6uci_D', '1a02_J', '1a02_F', '5t01_A', '2wt7_A', '6iak_D', '1t2k_D', '1t2k_C', '2dgc_A', '1s9k_E', '1ysa_C', '2lxt_C']",P16220__P02461
362,Q9NTX5,P42574,ECHDC1,CASP3,P42574__Q9NTX5,P42574,Q9NTX5,0.17400000286102296,0.09000000357627869,0.51,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']","['3pea_C', '3kqf_C', '6sl9_AAA', '3h81_C', '4fzw_D', '4fjw_D', '5zai_C', '5zai_F', '4fzw_C', '3moy_A', '5z7r_C', '6lvp_A', '2pbp_A', '2qq3_C', '1ey3_B', '1mj3_E', '7eum_A', '5xzd_A', '5xzd_C', '7eum_B']",Q9NTX5__P42574
363,P62316,Q9Y2D1,SNRPD2,ATF5,Q9Y2D1__P62316,Q9Y2D1,P62316,0.18000000476837158,0.15000000596046448,0.3,"['6irr_A', '5vpe_C', '6uci_D', '1t2k_D', '1ci6_A', '6irr_A']","['3pgw_Y', '3jb9_l', '3jb9_G', '7dco_n', '6n7p_M', '4f7u_D', '3pgw_B', '6id1_b', '5gm6_g', '5yzg_i', '3cw1_A', '3cw1_J', '1d3b_L', '4wzj_PPP', '6v4x_D', '6qw6_63', '1d3b_B', '6ppq_C', '6ppv_C', '6qdv_k']",P62316__Q9Y2D1
364,P21980,P49715,TGM2,CEBPA,P49715__P21980,P49715,P21980,0.26399999713897704,0.1599999964237213,0.68,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['6a8p_A', '6kzb_A', '1l9m_B', '1f13_A', '1l9n_A', '4kty_A', '2q3z_A', '1g0d_A', '2xzz_A', '6g49_A', '6g4h_A', '3idu_A', '2m8x_A', '1l9m_B', '1l9n_A', '3isr_B', '2q3z_A', '6kzb_A', '6a8p_A']",P21980__P49715
365,O75531,P01106,BANF1,MYC,P01106__O75531,P01106,O75531,0.1260000011920929,0.10000000149011612,0.23,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['6urj_A', '7ndy_B', '6ghd_A', '1im4_A', '1im4_A']",O75531__P01106
366,P35556,P18847,FBN2,ATF3,P35556__P18847,P35556,P18847,error,error,error,error,error,P18847__P35556
367,P02649,P01100,APOE,FOS,P02649__P01100,P02649,P01100,0.13800000119209288,0.10000000149011612,0.29,"['2l7b_A', '2kc3_A', '1ya9_A', '2l7b_A', '2l7b_A', '3s84_B', '1gs9_A', '6ncn_A', '6nco_A', '3s84_B', '1le2_A', '1nfn_A', '1or3_A', '3s84_B', '2l7b_A', '3s84_B', '2kc3_A', '1ya9_A', '2kc3_A', '1ya9_A']","['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']",P01100__P02649
368,Q9NX40,P35221,OCIAD1,CTNNA1,P35221__Q9NX40,P35221,Q9NX40,0.2580000057220459,0.18000000715255737,0.57,"['6upv_L', '4igg_B', '6bfi_B', '6bfi_A', '6nr7_A', '6upw_L', '1tr2_B', '6o3e_B', '6o3e_A', '6bfi_B', '6bfi_A', '5xfl_C', '5xfl_D', '5h5m_A', '6o3e_B', '6o3e_A', '5h5m_B', '6bfi_B', '6bfi_A', '6o3e_B']",[],Q9NX40__P35221
369,Q92841,P01100,DDX17,FOS,P01100__Q92841,P01100,Q92841,0.23000000143051147,0.17000000178813934,0.47,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['6y5q_p', '6uv1_A', '6uv2_A', '6uv3_A', '7oqe_p', '7oqb_p', '6qx9_5X', '6qw6_5X', '5e7j_A', '5e7i_C', '6o5f_A', '2i4i_A', '4d25_A', '4d26_A', '2db3_B', '5ivl_A', '5dtu_A', '4nho_A', '5ivl_B', '6qw6_5X']",Q92841__P01100
370,Q14498,P04626,RBM39,ERBB2,Q14498__P04626,Q14498,P04626,error,error,error,error,error,P04626__Q14498
371,O94973,P23769,AP2A2,GATA2,P23769__O94973,P23769,O94973,0.20600000047683717,0.14000000059604645,0.47,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['5nzr_B', '5a1u_G', '6owt_A', '2jkr_A', '6qh7_A', '6qh5_A', '4p6z_G', '6cri_R', '6yaf_B', '4p6z_B', '6qh5_B', '6cri_J', '7p3x_B', '7p3x_A', '7p3x_B', '6qh5_B', '6cri_J', '4p6z_G', '4p6z_G', '6cri_R']",O94973__P23769
372,P18206,P01106,VCL,MYC,P01106__P18206,P01106,P18206,0.24600000476837158,0.15000000596046448,0.63,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['6upw_L', '6nr7_A', '1tr2_B', '6bfi_B', '6bfi_A', '6upv_L', '4igg_B', '6o3e_B', '6o3e_A', '6nr7_A', '1tr2_B', '6bfi_B', '6bfi_A', '6nr7_A', '1tr2_B', '5xfl_C', '5h5m_A', '5h5m_B', '5xfl_D', '6bfi_B']",P18206__P01106
373,P84103,Q07869,SRSF3,PPARA,Q07869__P84103,Q07869,P84103,0.24799999809265139,0.1899999976158142,0.48,"['3e00_D', '3dzy_D', '4nqa_I', '4nqa_B', '3dzy_A', '5uan_B', '4nqa_H', '3e00_A', '4nqa_A', '4iqr_F', '4iqr_E', '3ty0_A', '5u3q_A', '3noa_A', '6fzf_B', '2p54_A', '6lxa_A', '6ms7_A', '4ci5_B', '6fx0_A']","['6d0y_A', '2i2y_A', '1h2v_Z', '5oob_B', '6hpj_B', '2kn4_A', '7abg_A6', '1p1t_A', '1x4a_A', '2mks_A', '5tbx_B', '2cqi_A', '2kxn_B', '2hvz_A', '2fy1_A', '2cq3_A', '2rra_A', '2err_A', '2leb_A', '2i2y_A']",P84103__Q07869
374,P11413,P10242,G6PD,MYB,P10242__P11413,P10242,P11413,0.3240000009536743,0.2800000011920929,0.5,"['6id0_L', '6id1_L', '1h88_C', '5wsg_c', '7dco_L', '5gmk_c', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '6id0_L', '6id1_L', '1h8a_C', '3jb9_W']","['6jyu_A', '7e6h_A', '7e6i_A', '1h9a_A', '1e7y_A', '1dpg_B', '5aq1_B', '4lgv_C', '3i23_A', '3cea_A', '3e82_A', '3e82_D']",P11413__P10242
375,P52907,P01100,CAPZA1,FOS,P01100__P52907,P01100,P52907,0.215999997138977,0.1599999964237213,0.44,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['7ds6_A', '5afu_K', '7ds2_A', '4akr_C', '4akr_A', '7a0h_A', '7a0h_A', '5afu_K', '4akr_A', '4akr_C']",P52907__P01100
376,P01116,P15336,KRAS,ATF2,P15336__P01116,P15336,P01116,0.28400000858306884,0.27000001072883606,0.34,"['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']","['5uqw_A', '6ut0_C', '6bof_B', '2ce2_X', '5xco_A', '5wdq_A', '6fa1_A', '2bov_A', '1kao_A', '2rap_A', '3rap_S', '1ukv_Y', '3tkl_A', '2bcg_Y', '3x1w_A', '3x1x_A', '4m8n_G', '4fme_B', '3l0i_D', '3x1z_A']",P01116__P15336
377,Q8IYB3,P16220,SRRM1,CREB1,P16220__Q8IYB3,P16220,Q8IYB3,0.17000000476837157,0.15000000596046448,0.25,"['6iak_F', '5zk1_A', '1dh3_A', '2e42_B', '5vpe_C', '6uci_D', '1a02_J', '1a02_F', '5t01_A', '2wt7_A', '6iak_D', '1t2k_D', '1t2k_C', '2dgc_A', '1s9k_E', '1ysa_C', '2lxt_C']","['7dvq_8', '1mp1_A', '3v53_B', '3v53_E', '1x4q_A', '6qw6_4A']",Q8IYB3__P16220
378,P14625,P01100,HSP90B1,FOS,P01100__P14625,P01100,P14625,0.24199999713897705,0.1599999964237213,0.57,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['7krj_B', '5fwk_A', '5uls_A', '2cg9_B', '2iop_A', '2iop_C', '2o1u_B', '6xg6_B', '6d14_B', '4ipe_A', '2ioq_A', '2o1w_B', '1y4s_A', '4ivg_A', '1y4u_B', '2o1w_E', '2o1t_E', '2cge_B', '3hjc_A', '3q6m_B']",P14625__P01100
379,P25311,Q9Y2D1,AZGP1,ATF5,P25311__Q9Y2D1,P25311,Q9Y2D1,0.24600000572204592,0.18000000715255737,0.51,"['1t7v_A', '6r2u_E', '1zag_B', '7jyv_A', '1k5n_A', '7mja_A', '3nfn_A', '6at5_A', '1lk2_A', '6gh1_E', '6kyu_A', '1s7q_A', '6m2k_A', '6eny_F', '4cvz_A', '1s7v_D', '7edo_A', '6mp0_A', '2qrs_A', '2qrt_A']","['6irr_A', '5vpe_C', '6uci_D', '1t2k_D', '1ci6_A', '6irr_A']",Q9Y2D1__P25311
380,Q12849,P15336,GRSF1,ATF2,P15336__Q12849,P15336,Q12849,0.1399999978542328,0.11999999731779099,0.22,"['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']","['6r5k_H', '6r5k_H', '6r5k_H', '7dvq_4', '6n7p_F', '6y53_o', '7dvq_4', '6y53_o', '2kxh_A', '5mmj_v', '6r5k_H', '5mmj_v', '2kxh_A', '1po6_A', '5x8p_v', '5x8r_v', '6dhs_A', '6dhs_B', '6n7p_F', '2lyv_A']",Q12849__P15336
381,O43772,P23769,SLC25A20,GATA2,P23769__O43772,P23769,O43772,0.2519999947547913,0.20999999344348907,0.42,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['6gci_A', '4c9h_B', '4c9g_A', '2lck_A', '1okc_A', '2c3e_A', '6gci_A', '6gci_A', '2lck_A', '2lck_A', '1okc_A', '2c3e_A', '4c9h_B', '4c9g_A', '4c9h_B', '4c9g_A', '1okc_A', '2c3e_A', '6gci_A', '1okc_A']",O43772__P23769
382,Q9P2E9,P16220,RRBP1,CREB1,Q9P2E9__P16220,Q9P2E9,P16220,0.1640000047683716,0.15000000596046448,0.22,[],"['6iak_F', '5zk1_A', '1dh3_A', '2e42_B', '5vpe_C', '6uci_D', '1a02_J', '1a02_F', '5t01_A', '2wt7_A', '6iak_D', '1t2k_D', '1t2k_C', '2dgc_A', '1s9k_E', '1ysa_C', '2lxt_C']",P16220__Q9P2E9
383,P35579,P49715,MYH9,CEBPA,P35579__P49715,P35579,P49715,error,error,error,error,error,P49715__P35579
384,P08133,P01106,ANXA6,MYC,P01106__P08133,P01106,P08133,0.23200000047683716,0.14000000059604645,0.6,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['1m9i_A', '1avc_A', '1m9i_A', '1avc_A', '1m9i_A', '1avc_A', '1m9i_A', '1avc_A', '5n7d_B', '5n7f_A', '6twy_B', '5n7d_B', '5n7f_A', '6twy_B', '2h0k_B', '5n7d_B', '5n7f_A', '6twy_B', '1axn_A', '2zhj_A']",P08133__P01106
385,Q06210,P01106,GFPT1,MYC,P01106__Q06210,P01106,Q06210,0.24799999713897705,0.1599999964237213,0.6,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['6r4e_A', '7ndl_B', '3ooj_H', '1jxa_C', '4amv_C', '2zj3_A', '1moq_A', '1mos_A', '2v4m_D', '3tbf_A', '3tbf_E', '7dnr_B', '2poc_B', '2puv_B', '4s1w_B', '7kqa_A', '7kqa_B', '3fj1_C', '1xff_A', '1xfg_B']",Q06210__P01106
386,Q01081,P49716,U2AF1,CEBPD,P49716__Q01081,P49716,Q01081,0.20999999713897705,0.1599999964237213,0.41,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']","['7c06_J', '4yh8_A', '1jmt_A', '5zoj_D', '6y5q_q', '2lq5_A', '3dxb_D', '6slo_C', '2dit_A', '6y50_q', '6y5q_q', '6n3d_A', '6hip_B', '3ue2_A', '5lso_B', '3s6e_A', '4j5o_A', '6eoj_B', '6dnh_C', '6dnh_C']",Q01081__P49716
387,P47756,P15336,CAPZB,ATF2,P15336__P47756,P15336,P47756,0.41399998950958256,0.41999998688697815,0.39,"['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']","['3lk4_8', '5afu_L', '3aaa_B', '4akr_B', '4akr_D', '3lk2_B', '7ds2_B', '7ds6_B', '4akr_A', '4akr_C']",P47756__P15336
388,P21980,P23769,TGM2,GATA2,P23769__P21980,P23769,P21980,0.23600000047683717,0.14000000059604645,0.62,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['6a8p_A', '6kzb_A', '1l9m_B', '1f13_A', '1l9n_A', '4kty_A', '2q3z_A', '1g0d_A', '2xzz_A', '6g49_A', '6g4h_A', '3idu_A', '2m8x_A', '1l9m_B', '1l9n_A', '3isr_B', '2q3z_A', '6kzb_A', '6a8p_A']",P21980__P23769
389,Q16531,P01106,DDB1,MYC,P01106__Q16531,P01106,Q16531,0.26599999713897704,0.1599999964237213,0.69,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['2hye_A', '5jk7_A', '3ei3_A', '7dco_3', '5ife_A', '5hy7_A', '6urg_A', '7dvq_3', '6f9n_A', '6eoj_A', '6h0f_J', '6ud7_B', '5fqd_A', '7b9c_A', '7b0i_A', '2b5n_B', '2b5n_D', '3ei3_A', '2oaj_A', '2oaj_A']",Q16531__P01106
390,Q01081,P18846,U2AF1,ATF1,P18846__Q01081,P18846,Q01081,0.20999999713897705,0.1599999964237213,0.41,"['6iak_F', '5zk1_A', '1dh3_A', '5vpe_C', '6uci_D', '3a5t_B', '1a02_J', '1a02_F', '6iak_D', '5t01_A', '1s9k_D', '2wt7_A', '1t2k_D', '2dgc_A', '1t2k_C', '1s9k_E', '1ysa_C', '2lxt_C']","['7c06_J', '4yh8_A', '1jmt_A', '5zoj_D', '6y5q_q', '2lq5_A', '3dxb_D', '6slo_C', '2dit_A', '6y50_q', '6y5q_q', '6n3d_A', '6hip_B', '3ue2_A', '5lso_B', '3s6e_A', '4j5o_A', '6eoj_B', '6dnh_C', '6dnh_C']",Q01081__P18846
391,Q9BVK6,P35221,TMED9,CTNNA1,P35221__Q9BVK6,P35221,Q9BVK6,0.19599999952316285,0.10999999940395355,0.54,"['6upv_L', '4igg_B', '6bfi_B', '6bfi_A', '6nr7_A', '6upw_L', '1tr2_B', '6o3e_B', '6o3e_A', '6bfi_B', '6bfi_A', '5xfl_C', '5xfl_D', '5h5m_A', '6o3e_B', '6o3e_A', '5h5m_B', '6bfi_B', '6bfi_A', '6o3e_B']","['7rrm_A', '5gu5_A', '5azx_A', '5azx_B', '5azw_A', '7rrm_A', '5azw_A']",Q9BVK6__P35221
392,Q14764,P42574,MVP,CASP3,P42574__Q14764,P42574,Q14764,0.2539999990463257,0.2199999988079071,0.39,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']","['4v60_I', '4v60_I', '3gf5_B', '3gnf_B', '4v60_I', '3gf5_B', '3gnf_B', '4v60_I', '3gf5_B', '3gf5_B', '3gnf_B', '3gnf_B', '1y7x_A', '1y7x_A', '1y7x_A', '1y7x_A']",Q14764__P42574
393,P14866,P23769,HNRNPL,GATA2,P23769__P14866,P23769,P14866,0.20000000143051147,0.17000000178813934,0.32,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['6r5k_H', '6r5k_H', '6r5k_H', '4qpt_A', '2mju_A', '6n7p_F', '7dvq_4', '6r5k_H', '4cq1_B', '7dvq_4', '4f02_A', '1cvj_A', '1cvj_B', '2mju_A', '6y53_o', '6y53_o', '2adc_A', '6n7p_F', '6n7p_F', '7dvq_4']",P14866__P23769
394,Q8N8A6,P35221,DDX51,CTNNA1,P35221__Q8N8A6,P35221,Q8N8A6,0.33400000953674314,0.30000001192092896,0.47,"['6upv_L', '4igg_B', '6bfi_B', '6bfi_A', '6nr7_A', '6upw_L', '1tr2_B', '6o3e_B', '6o3e_A', '6bfi_B', '6bfi_A', '5xfl_C', '5xfl_D', '5h5m_A', '6o3e_B', '6o3e_A', '5h5m_B', '6bfi_B', '6bfi_A', '6o3e_B']","['6qw6_5X', '6qx9_5X', '6y5q_p', '4nho_A', '5e7i_C', '5e7j_A', '4d25_A', '2i4i_A', '5ivl_A', '5dtu_A', '6o5f_A', '6uv1_A', '6uv2_A', '6uv3_A', '6em3_D', '7ohr_D', '5ivl_B', '2db3_B', '4kbf_B', '5dtu_A']",Q8N8A6__P35221
395,P42765,Q9Y2D1,ACAA2,ATF5,Q9Y2D1__P42765,Q9Y2D1,P42765,0.19400000286102295,0.09000000357627869,0.61,"['6irr_A', '5vpe_C', '6uci_D', '1t2k_D', '1ci6_A', '6irr_A']","['4c2k_D', '4c2j_C', '4w61_B', '4nzs_B', '3ss6_A', '3ss6_B', '1ou6_A', '2vu1_B', '4dd5_A', '4o9c_F', '1qfl_A', '4o9a_B', '1ulq_D', '6bn2_A', '5f0v_C', '4n45_B', '4xl3_B', '4xl4_A', '4e1l_A', '4e1l_B']",P42765__Q9Y2D1
396,Q969V3,P01100,NCLN,FOS,P01100__Q969V3,P01100,Q969V3,0.22600000047683716,0.14000000059604645,0.57,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['6w6l_5', '5a63_A', '6lr4_A', '5gne_A', '6zep_A', '6hc6_A', '6hc6_C', '1suv_A', '6okd_B', '7oez_A', '1rtq_A', '1z8l_B', '3fed_A', '1tkj_A', '1qq9_A', '1amp_A', '4twe_A', '2ek9_A', '5ib9_A', '3gux_A']",Q969V3__P01100
397,P30084,P01106,ECHS1,MYC,P01106__P30084,P01106,P30084,0.1620000011920929,0.10000000149011612,0.41,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['3h81_C', '3moy_A', '4fjw_D', '4fzw_B', '3kqf_C', '5zai_C', '6sl9_AAA', '5zai_F', '2qq3_C', '2pbp_A', '2ej5_B', '2ej5_A', '6lvp_A', '5z7r_C', '1ey3_B', '1mj3_E', '5xzd_A', '7eum_A', '5xzd_C', '7eum_B']",P30084__P01106
398,Q9ULC5,Q07869,ACSL5,PPARA,Q07869__Q9ULC5,Q07869,Q9ULC5,0.28599999904632567,0.2199999988079071,0.55,"['3e00_D', '3dzy_D', '4nqa_I', '4nqa_B', '3dzy_A', '5uan_B', '4nqa_H', '3e00_A', '4nqa_A', '4iqr_F', '4iqr_E', '3ty0_A', '5u3q_A', '3noa_A', '6fzf_B', '2p54_A', '6lxa_A', '6ms7_A', '4ci5_B', '6fx0_A']","['5es5_B', '5es8_B', '6mfy_A', '6mfz_A', '5es8_A', '6p1j_A', '6mfz_A', '5u89_A', '6mfw_A', '6mfx_A', '1amu_A', '1amu_B', '4d56_A', '4d4i_A', '6ulz_A', '6oyf_A', '6p4u_A', '5es6_A', '6ea3_B', '6mfy_A']",Q9ULC5__Q07869
399,Q8TC12,P42574,RDH11,CASP3,P42574__Q8TC12,P42574,Q8TC12,0.1999999978542328,0.11999999731779099,0.52,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']","['6rnv_A', '3rd5_A', '3rsh_B', '5f1p_B', '4nbu_B', '4nbu_C', '6t6p_C', '3emk_A', '1vl8_A', '1vl8_B', '3enn_B', '5b1y_B', '5b1y_A', '2p68_A', '2pnf_A', '4weo_C', '4weo_D', '4nbv_B', '4m8s_A', '4rzh_B']",Q8TC12__P42574
400,Q8N4H5,P48431,TOMM5,SOX2,Q8N4H5__P48431,Q8N4H5,P48431,0.15999999618530275,0.12999999523162842,0.28,['7ck6_I'],"['6wx7_B', '1j46_A', '6t7d_K', '6wx8_D', '2le4_A', '6t90_L', '1gt0_D', '6yov_L', '6t78_B', '3u2b_C', '2gzk_A', '4y60_C', '4euw_A', '4s2q_D', '2yrq_A', '5ze0_N', '2gzk_A', '7jjk_A', '2yrq_A', '1i11_A']",P48431__Q8N4H5
401,P08651,P18847,NFIC,ATF3,P18847__P08651,P18847,P08651,0.2500000033378601,0.2300000041723251,0.33,"['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']","['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']",P08651__P18847
